infected_person_id,infector_id,location_id,variant,timestep,mask,vaccine,capacity,lockdown,selfiso
21,25,9,Delta,960,0.71508,0.51547,0.18961,0.99588,0.965
22,25,9,Delta,0,0.71508,0.51547,0.18961,0.99588,0.965
23,25,9,Delta,960,0.71508,0.51547,0.18961,0.99588,0.965
24,25,9,Delta,1320,0.71508,0.51547,0.18961,0.99588,0.965
157,160,51,Omicron,1320,0.71508,0.51547,0.18961,0.99588,0.965
158,160,51,Omicron,1320,0.71508,0.51547,0.18961,0.99588,0.965
159,160,51,Omicron,1380,0.71508,0.51547,0.18961,0.99588,0.965
161,160,89,Omicron,60,0.71508,0.51547,0.18961,0.99588,0.965
285,160,89,Omicron,1260,0.71508,0.51547,0.18961,0.99588,0.965
286,160,89,Omicron,1260,0.71508,0.51547,0.18961,0.99588,0.965
96,160,14,Omicron,180,0.71508,0.51547,0.18961,0.99588,0.965
27,25,12,Delta,240,0.71508,0.51547,0.18961,0.99588,0.965
36,25,12,Delta,900,0.71508,0.51547,0.18961,0.99588,0.965
37,25,12,Delta,900,0.71508,0.51547,0.18961,0.99588,0.965
38,25,12,Delta,900,0.71508,0.51547,0.18961,0.99588,0.965
39,25,12,Delta,900,0.71508,0.51547,0.18961,0.99588,0.965
97,160,14,Omicron,240,0.71508,0.51547,0.18961,0.99588,0.965
135,160,14,Omicron,360,0.71508,0.51547,0.18961,0.99588,0.965
110,160,51,Omicron,1020,0.71508,0.51547,0.18961,0.99588,0.965
18,25,9,Delta,720,0.71508,0.51547,0.18961,0.99588,0.965
19,25,9,Delta,960,0.71508,0.51547,0.18961,0.99588,0.965
109,160,51,Omicron,1320,0.71508,0.51547,0.18961,0.99588,0.965
